¹	1789	1793	1797	1801	1805	1809	1813	1817	1821	1825	1829	1833	1837	1841	1845	1849	1853	1857	1861	1865	1869	1873	1877	1881	1885	1889	1893	1897	1901	1905	1909	1913	1917	1921	1925	1929	1933	1937	1941	1945	1949	1953	1957	1961	1965	1969	1973	1977	1981	1985	1989	1993	1997	2001	2005	2009	2013	2017	2021
90								35	51				52	43	27		19		34					26		33		42	35		44			9	13	2					32	26	23		60	8			21	7	23	5	14	21	15	24		11	9
91								23	36				31	36	26		27		27					34		34		19	6		63			11	8	12					21	21	19		17	25			21	16	14	5	10	14	21	4		3	5
92								17	16				21	109	26		22		6					21		28		39	12		27			9	25	26					24	24	31		7	24			24	37	20	15	17	18	46	11		4	14
93								45	19				13	32	22		76		44					9		8		39	11		35			7	33	20					11	20			40	30			6	33	10	7	14	29	23	10		2	10
94								21	34					36	20		13		22					28		24		38	34		7			18	18	21					15	29				63			7	24	11		12	3	28	67		3	14
95								27	21					54	15		33		24					34		32		14	7		6			9	31	2					23	17				30			19	8	13		16	4	7	9			38
96								34	29					26	8		12		32					29		54		14	5		13			21	12	26					15	13				40			25	12	10		19	12	17	18			16
97								34	84					37	11		15		6					24		19		22	24		26			50	11	6					9	15				60			16	6	15		19	8	18	60			7
98								10	34					30	18		14		17					63		22		16	18		68			32	22	20					19	9				56			6	24	37		15		14	18			22
99								13	10					18	16		23		31					6		26		45	19		19			28	10	11					28	10				10			13	13	6		17			27			5
100								31	18					24	21		10		18					18		17		50	26		7			25	23	25					32	16				20			12	16	7		16			4			8
101								41	18					69	13		13		17					32		51		100			78			22	64	10					29	11				5			28	14	5		12			4			6
102								20	23					25	85		30		10					34		34		22			24			18	38	21					29	18				13			31	13	7		21			6			37
103								32	21					31	20		24		13					25		39		39			14			7	13	21					15	12				47			12	19	9		9			64			17
104								12	33					37	15		74		39					44		14		22			21			12	39	46					24	14							10	12	9		15			1			42
105								25	28					36	58				12					22		26		20			17			23	16	71					17	13							14	13	20		11			19			4
106								11	45					21	50				27					17		18		33			5			15	17	34					16	8							23	18	18		16			18			17
107								35	15					18	35				22					87		12		16			68			34	25	20					21	15							16	12	19		15			57			7
108								15	35					67	46				54					107		10		11			24			14	16	16					23	30							24	17	10		6			2			11
109								7	19					47	48				59					18		36		21			43			8	43	15					11	8							25	26	5		20			3			6
110								28	21					15	15				40					26		16		18			19			31	25	26					55	33							16	19	10		64			8			8
111								14	33					28	24				46					52		14		32			37			18	34	21					12	14							18	12	9		16						18
112								9	39					56	13				26							31		19			17			28	10	21					14	32							17	14	20		15						5
113								13	6					22	19				21							12		28			9			22	9	20					18	28							9	10	21								15
114								20	24					33	17				24							9		42			5			15	5	30					18	25							10	14	30								11
115								47	18					34	12				15							31		33			43			19	12	21					15	13							10	27	18								13
116								15	73					24	43				10							36		25			12			34	36	18					18	11							8	10	10								13
117								30	63					24	71				14							21		23			21			30	12	10						14							13	67	27								2
118								98	30					41	63				44							30		16			40			21	5	34						13							19	5	48								21
119								40	8					10	42				44							27		59			38			20	14	27						21							36	9	7								7
120								45	28					39	9				30							30		40			7			22	20	39													18	7	24								17
121								14	44					40	9				13							33		27			30			18	19	26													17	4	10								12
122								55	59					45	35				8							32		22			8			39	17	15													40	29	12								22
123								60	8					37	12				39							9		37			12			25	17	15													29	52	22								22
124									19					29	26				41							31		32			87			20	8	13													19	8	30								18
125									8					34	45				26							22		33			40			12	26	20													11		16								13
126									58					33	39				30							16		24			60			9	13	17													18		18								13
127									16					25	33				17							26		57			5			13	18	27													33		19								47
128									4					36	25				6							15		60			19			40	8	21													29		6								17
129									29					22	28				10							24		13			14			15	28	5													42		32								25
